Date;Withdrawals;Deposits;Payee;Description;Reference Number
2025-04-01;0.9;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-04-08;25.0;0.0;;Transfer; VISA IssuerPOS Purchase929911:22025040702385584004174008MICROSOFT#G085840844MSBILL.INFO       IE||R
2025-04-11;0.0;6840.86;;Transfer; DE#S0651003611201#MT103#ENTHUS GMBH#INVOICE INV2025101184
2025-04-11;5.0;0.0;;Transfer; DE#S0651003611201#TRANSFER_EXPNSES#ENTHUS GMBH#MT103
2025-04-12;0.9;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-04-14;4500.0;0.0;;Transfer; REF:19633cb313e74b45 IB FT AT XRATE 2715 FROM KAFFON TO KAFFON COMPANY LIMITED  Transfer t
2025-04-14;10000.0;0.0;;Transfer; REF:1963436da4940a27 IB FT AT XRATE 2715 FROM KAFFON TO KAFFON COMPANY LIMITED  Transfer t
2025-04-15;6.0;0.0;;Transfer; VISA IssuerPOS Purchase016941:22025041401154884004174008MICROSOFT#G087575584MSBILL.INFO       IE||R
2025-04-16;12.0;0.0;;Transfer; Monthly Maintenance Fee
2025-04-16;2.16;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-04-17;0.0;18145.97;;Transfer; DE#2025041700182313#MT103#KOENIG.SOLUTIONS GMBH#INV2025101182 (rku)
2025-04-17;10000.0;0.0;;Transfer; REF:19643bcf297dc802 IB FT AT XRATE 2720 FROM KAFFON TO KAFFON COMPANY LIMITED  Transfer t
2025-04-18;0.0;5261.31;;Transfer; DE#S0651072067B01#MT103#ENTHUS GMBH#INVOICE INV2025101187
2025-04-18;5.0;0.0;;Transfer; DE#S0651072067B01#TRANSFER_EXPNSES#ENTHUS GMBH#MT103
2025-04-18;10000.0;0.0;;Transfer; REF:19647bd8314bc89b IB FT AT XRATE 2720 FROM KAFFON TO KAFFON COMPANY LIMITED  Transfer t
2025-04-18;0.9;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-04-23;60.0;0.0;;Transfer; VISA IssuerPOS Purchase131381:2202504220628068407N3QWJUFOPENAI  CHATGPT SUBSOPENAI.COM        US||R
2025-04-24;0.0;4619.1;;Transfer; DE#C0051141254201#MT103#ADESSO BUSINESS CONSULTING AG#ROC/3000047141051211/URI INV20251011
2025-04-24;5.0;0.0;;Transfer; DE#C0051141254201#TRANSFER_EXPNSES#ADESSO BUSINESS CONSULTING AG#MT103
2025-04-24;0.9;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-04-24;8000.0;0.0;;Transfer; REF:19666d2cf8d94a7b IB FT AT XRATE 2720 FROM KAFFON TO KAFFON COMPANY LIMITED  Transfer t
